"","person_age","person_income","person_home_ownership","person_emp_length","loan_intent","loan_grade","loan_amnt","loan_int_rate","loan_status","loan_percent_income","cb_person_default_on_file","cb_person_cred_hist_length","int_cat"
"8925",22,60000,"MORTGAGE",7,"PERSONAL","B",12000,10,0,0.2,"N",3,"(9,11]"
"8926",24,48000,"RENT",NA,"DEBTCONSOLIDATION","A",8000,7.51,0,0.17,"N",4,"(7,9]"
"8927",25,48000,"RENT",4,"EDUCATION","C",8000,14.35,0,0.17,"N",2,"(13,15]"
"8928",23,42000,"RENT",3,"HOMEIMPROVEMENT","D",8000,15.58,1,0.19,"N",2,"(15,17]"
"8929",25,60000,"MORTGAGE",9,"HOMEIMPROVEMENT","B",5500,10.74,0,0.09,"N",2,"(9,11]"
"8930",25,48000,"RENT",2,"PERSONAL","C",8000,13.11,0,0.17,"N",4,"(13,15]"
"8931",26,48000,"RENT",3,"DEBTCONSOLIDATION","B",8000,9.96,0,0.17,"N",3,"(9,11]"
"8932",24,48500,"RENT",5,"MEDICAL","C",8000,15.96,0,0.16,"N",3,"(15,17]"
"8933",22,60000,"MORTGAGE",6,"VENTURE","A",6125,6.17,0,0.1,"N",3,"(5,7]"
"8934",26,48701,"RENT",3,"MEDICAL","B",8000,11.48,0,0.16,"N",4,"(11,13]"
"8935",25,49244,"RENT",3,"EDUCATION","A",8000,8,0,0.16,"N",3,"(7,9]"
"8936",24,49992,"RENT",5,"VENTURE","D",8000,15.95,0,0.16,"Y",2,"(15,17]"
"8937",21,44000,"RENT",5,"VENTURE","D",8000,16.29,1,0.18,"N",3,"(15,17]"
"8938",24,50000,"RENT",8,"PERSONAL","C",8000,15.96,0,0.16,"N",3,"(15,17]"
"8939",24,50000,"RENT",3,"MEDICAL","B",8000,12.42,0,0.16,"N",2,"(11,13]"
"8940",23,50000,"RENT",0,"EDUCATION","C",8000,14.27,0,0.16,"N",4,"(13,15]"
"8941",22,50000,"RENT",2,"EDUCATION","A",8000,6.62,0,0.16,"N",3,"(5,7]"
"8942",23,50000,"RENT",4,"EDUCATION","A",8000,6.62,0,0.16,"N",3,"(5,7]"
"8943",22,60000,"MORTGAGE",NA,"EDUCATION","A",5000,6.54,0,0.08,"N",4,"(5,7]"
"8944",24,60000,"MORTGAGE",8,"VENTURE","B",9000,NA,0,0.15,"N",4,"missing"
"8945",25,50000,"RENT",6,"VENTURE","A",8000,7.9,0,0.16,"N",4,"(7,9]"
"8946",23,44000,"RENT",5,"EDUCATION","C",8000,13.49,1,0.18,"Y",2,"(13,15]"
"8947",25,60000,"OWN",4,"HOMEIMPROVEMENT","A",6500,6.17,0,0.11,"N",3,"(5,7]"
"8948",22,60000,"MORTGAGE",6,"EDUCATION","C",2000,12.61,0,0.03,"Y",2,"(11,13]"
"8949",26,60000,"MORTGAGE",6,"EDUCATION","A",9000,6.91,0,0.15,"N",3,"(5,7]"
"8950",23,50000,"RENT",0,"EDUCATION","A",8000,7.49,0,0.16,"N",4,"(7,9]"
"8951",24,50000,"RENT",9,"DEBTCONSOLIDATION","B",8000,9.99,0,0.16,"N",2,"(9,11]"
"8952",24,60000,"OWN",4,"EDUCATION","A",5000,5.79,0,0.08,"N",3,"(5,7]"
"8953",23,60000,"MORTGAGE",8,"MEDICAL","B",10000,NA,0,0.17,"N",3,"missing"
"8954",21,44000,"RENT",6,"EDUCATION","D",8000,15.21,1,0.18,"N",2,"(15,17]"
"8955",24,60000,"MORTGAGE",8,"VENTURE","B",12000,9.62,0,0.2,"N",4,"(9,11]"
"8956",21,60000,"MORTGAGE",5,"EDUCATION","C",8000,12.23,0,0.13,"Y",3,"(11,13]"
"8957",23,60000,"MORTGAGE",7,"PERSONAL","A",12000,NA,0,0.2,"N",4,"missing"
"8958",21,60000,"MORTGAGE",5,"DEBTCONSOLIDATION","B",7800,9.99,0,0.13,"N",2,"(9,11]"
"8959",22,60000,"MORTGAGE",6,"PERSONAL","A",2000,6.54,0,0.03,"N",3,"(5,7]"
"8960",25,50000,"RENT",4,"DEBTCONSOLIDATION","C",8000,13.85,0,0.16,"N",3,"(13,15]"
"8961",24,60000,"MORTGAGE",2,"MEDICAL","B",9700,8.88,0,0.16,"N",3,"(7,9]"
"8962",26,60000,"MORTGAGE",0,"DEBTCONSOLIDATION","C",7200,NA,0,0.12,"N",4,"missing"
"8963",23,50000,"RENT",0,"VENTURE","C",8000,NA,0,0.16,"N",4,"missing"
"8964",22,50000,"RENT",2,"PERSONAL","B",8000,12.18,0,0.16,"N",4,"(11,13]"
"8965",23,60000,"MORTGAGE",6,"PERSONAL","B",2000,10.36,0,0.03,"N",2,"(9,11]"
"8966",24,50000,"RENT",0,"EDUCATION","A",8000,7.74,0,0.16,"N",4,"(7,9]"
"8967",23,60000,"MORTGAGE",6,"EDUCATION","A",7000,6.54,0,0.12,"N",3,"(5,7]"
"8968",22,50000,"RENT",2,"PERSONAL","C",8000,13.16,0,0.16,"Y",2,"(13,15]"
"8969",25,44000,"RENT",1,"MEDICAL","D",8000,12.92,1,0.18,"N",4,"(11,13]"
"8970",21,60000,"MORTGAGE",5,"PERSONAL","A",6000,6.91,0,0.1,"N",4,"(5,7]"
"8971",23,60000,"MORTGAGE",4,"PERSONAL","A",20000,6.54,0,0.33,"N",3,"(5,7]"
"8972",25,60000,"MORTGAGE",7,"DEBTCONSOLIDATION","A",8000,5.79,0,0.13,"N",2,"(5,7]"
"8973",23,60000,"MORTGAGE",5,"DEBTCONSOLIDATION","A",7200,NA,0,0.12,"N",4,"missing"
"8974",23,50004,"RENT",5,"MEDICAL","C",8000,12.73,0,0.16,"N",4,"(11,13]"
"8975",26,50049,"RENT",5,"DEBTCONSOLIDATION","C",8000,12.99,0,0.16,"N",3,"(11,13]"
"8976",21,50400,"RENT",4,"VENTURE","D",8000,15.62,0,0.16,"Y",2,"(15,17]"
"8977",26,60000,"MORTGAGE",4,"EDUCATION","B",7000,9.62,0,0.12,"N",3,"(9,11]"
"8978",23,60000,"MORTGAGE",4,"EDUCATION","A",13000,6.91,0,0.22,"N",2,"(5,7]"
"8979",26,60000,"MORTGAGE",2,"MEDICAL","B",5000,NA,0,0.08,"N",4,"missing"
"8980",25,60000,"MORTGAGE",3,"EDUCATION","B",10000,10.36,0,0.17,"N",4,"(9,11]"
"8981",25,51996,"RENT",6,"MEDICAL","B",8000,10.37,0,0.15,"N",2,"(9,11]"
"8982",24,52000,"RENT",3,"HOMEIMPROVEMENT","B",8000,10.99,0,0.15,"N",4,"(9,11]"
"8983",24,52000,"RENT",2,"MEDICAL","A",8000,7.51,0,0.15,"N",4,"(7,9]"
"8984",26,52000,"RENT",3,"EDUCATION","B",8000,10.25,0,0.15,"N",4,"(9,11]"
"8985",23,52000,"RENT",5,"DEBTCONSOLIDATION","C",8000,13.22,0,0.15,"N",2,"(13,15]"
"8986",26,46000,"RENT",3,"PERSONAL","D",8000,14.42,1,0.17,"N",2,"(13,15]"
"8987",22,60000,"OWN",3,"PERSONAL","D",8700,15.58,0,0.14,"Y",4,"(15,17]"
"8988",24,52000,"RENT",1,"EDUCATION","C",8000,11.78,0,0.15,"N",3,"(11,13]"
"8989",23,46000,"RENT",2,"EDUCATION","D",8000,11.86,1,0.17,"N",3,"(11,13]"
"8990",25,60000,"MORTGAGE",3,"VENTURE","B",10000,11.49,0,0.17,"N",4,"(11,13]"
"8991",24,60000,"MORTGAGE",3,"VENTURE","A",20000,7.88,0,0.33,"N",2,"(7,9]"
"8992",25,60000,"OWN",9,"MEDICAL","A",16000,7.88,0,0.27,"N",4,"(7,9]"
"8993",24,46500,"RENT",2,"HOMEIMPROVEMENT","C",8000,15.23,1,0.17,"Y",2,"(15,17]"
"8994",24,52800,"RENT",1,"MEDICAL","C",8000,12.87,0,0.15,"Y",3,"(11,13]"
"8995",21,60000,"OWN",0,"VENTURE","D",16000,NA,0,0.27,"N",2,"missing"
"8996",24,60000,"MORTGAGE",8,"DEBTCONSOLIDATION","C",14000,NA,0,0.23,"N",2,"missing"
"8997",25,53000,"RENT",9,"EDUCATION","C",8000,12.23,0,0.15,"N",3,"(11,13]"
"8998",23,53000,"RENT",6,"MEDICAL","C",8000,14.26,0,0.15,"Y",4,"(13,15]"
"8999",23,60000,"MORTGAGE",7,"EDUCATION","A",12000,7.88,0,0.2,"N",2,"(7,9]"
"9000",22,60000,"OWN",NA,"EDUCATION","B",20000,11.12,0,0.33,"N",3,"(11,13]"
"9001",26,53688,"RENT",11,"DEBTCONSOLIDATION","A",8000,5.42,0,0.15,"N",4,"(5,7]"
"9002",23,54000,"RENT",7,"DEBTCONSOLIDATION","B",8000,10.99,0,0.15,"N",4,"(9,11]"
"9003",23,48000,"RENT",3,"DEBTCONSOLIDATION","D",8000,15.58,1,0.17,"N",2,"(15,17]"
"9004",24,54000,"RENT",7,"MEDICAL","A",8000,7.88,0,0.15,"N",3,"(7,9]"
"9005",22,60000,"MORTGAGE",6,"MEDICAL","A",17500,7.88,0,0.29,"N",4,"(7,9]"
"9006",24,54000,"RENT",3,"MEDICAL","A",8000,8.07,0,0.15,"N",4,"(7,9]"
"9007",23,54000,"MORTGAGE",5,"DEBTCONSOLIDATION","E",10000,16.45,1,0.19,"N",3,"(15,17]"
"9008",23,54500,"RENT",2,"DEBTCONSOLIDATION","A",8000,NA,0,0.15,"N",2,"missing"
"9009",22,54600,"RENT",6,"DEBTCONSOLIDATION","A",8000,7.51,0,0.15,"N",2,"(7,9]"
"9010",26,54600,"RENT",4,"HOMEIMPROVEMENT","C",8000,13.8,0,0.15,"Y",4,"(13,15]"
"9011",22,48996,"RENT",0,"PERSONAL","D",8000,14.96,1,0.16,"Y",2,"(13,15]"
"9012",23,60000,"MORTGAGE",5,"PERSONAL","D",15000,15.21,0,0.25,"Y",3,"(15,17]"
"9013",23,54000,"MORTGAGE",2,"MEDICAL","D",7500,15.58,1,0.14,"N",2,"(15,17]"
"9014",23,55000,"RENT",2,"PERSONAL","B",8000,10.65,0,0.15,"N",2,"(9,11]"
"9015",23,54000,"MORTGAGE",5,"EDUCATION","B",7750,10.38,1,0.14,"N",4,"(9,11]"
"9016",22,55000,"RENT",6,"PERSONAL","B",8000,11.71,0,0.15,"N",3,"(11,13]"
"9017",23,55000,"RENT",1,"MEDICAL","A",8000,5.42,0,0.15,"N",4,"(5,7]"
"9018",26,54000,"MORTGAGE",2,"HOMEIMPROVEMENT","C",6000,13.98,1,0.11,"Y",3,"(13,15]"
"9019",23,60000,"OWN",1,"VENTURE","B",2000,11.12,0,0.03,"N",4,"(11,13]"
"9020",24,60000,"MORTGAGE",5,"DEBTCONSOLIDATION","A",14000,7.51,0,0.23,"N",2,"(7,9]"
"9021",22,60000,"OWN",6,"EDUCATION","B",5900,11.12,0,0.1,"N",2,"(11,13]"
"9022",24,55000,"RENT",8,"HOMEIMPROVEMENT","C",8000,13.8,0,0.15,"Y",2,"(13,15]"
"9023",23,55000,"RENT",4,"EDUCATION","B",8000,9.25,0,0.15,"N",2,"(9,11]"
"9024",25,60000,"MORTGAGE",3,"VENTURE","A",7000,NA,0,0.12,"N",3,"missing"
"9025",22,60000,"MORTGAGE",7,"VENTURE","C",7000,13.61,0,0.12,"Y",3,"(13,15]"
"9026",24,60000,"MORTGAGE",6,"PERSONAL","C",2400,13.61,0,0.04,"Y",4,"(13,15]"
"9027",22,49000,"RENT",1,"EDUCATION","A",8000,6.91,1,0.16,"N",2,"(5,7]"
"9028",23,55000,"RENT",7,"VENTURE","C",8000,13.11,0,0.15,"N",3,"(13,15]"
"9029",22,60000,"MORTGAGE",4,"EDUCATION","A",8000,7.14,0,0.13,"N",2,"(7,9]"
"9030",25,60000,"OWN",9,"MEDICAL","A",4000,6.39,0,0.07,"N",4,"(5,7]"
"9031",24,60000,"MORTGAGE",2,"PERSONAL","B",2600,11.49,0,0.04,"N",4,"(11,13]"
"9032",23,49161,"RENT",1,"HOMEIMPROVEMENT","D",8000,13.17,1,0.16,"Y",4,"(13,15]"
"9033",23,55550,"RENT",7,"DEBTCONSOLIDATION","B",8000,NA,0,0.14,"N",3,"missing"
"9034",26,60000,"OWN",8,"VENTURE","A",9800,NA,0,0.16,"N",4,"missing"
"9035",25,56000,"RENT",9,"VENTURE","A",8000,5.99,0,0.14,"N",2,"(5,7]"
"9036",25,60000,"OWN",8,"EDUCATION","B",14000,11.12,0,0.23,"N",2,"(11,13]"
"9037",23,50000,"RENT",7,"DEBTCONSOLIDATION","D",8000,16.02,1,0.16,"N",3,"(15,17]"
"9038",22,60000,"MORTGAGE",7,"VENTURE","B",6000,10.38,0,0.1,"N",2,"(9,11]"
"9039",23,56000,"RENT",1,"EDUCATION","B",8000,10,0,0.14,"N",3,"(9,11]"
"9040",24,56000,"RENT",2,"MEDICAL","A",8000,7.51,0,0.14,"N",3,"(7,9]"
"9041",22,54000,"MORTGAGE",0,"HOMEIMPROVEMENT","A",16000,7.51,1,0.3,"N",2,"(7,9]"
"9042",23,60000,"MORTGAGE",7,"EDUCATION","A",10500,NA,0,0.17,"N",4,"missing"
"9043",24,60000,"MORTGAGE",3,"HOMEIMPROVEMENT","B",4000,11.86,0,0.07,"N",2,"(11,13]"
"9044",24,60000,"MORTGAGE",5,"DEBTCONSOLIDATION","A",7000,7.14,0,0.12,"N",2,"(7,9]"
"9045",24,60000,"MORTGAGE",9,"PERSONAL","A",5000,7.88,0,0.08,"N",4,"(7,9]"
"9046",23,60000,"MORTGAGE",3,"EDUCATION","A",20000,7.88,0,0.33,"N",4,"(7,9]"
"9047",25,57600,"RENT",0,"HOMEIMPROVEMENT","A",8000,7.66,0,0.14,"N",2,"(7,9]"
"9048",23,57750,"RENT",3,"EDUCATION","A",8000,7.49,0,0.14,"N",3,"(7,9]"
"9049",23,57996,"RENT",5,"DEBTCONSOLIDATION","A",8000,7.14,0,0.14,"N",2,"(7,9]"
"9050",25,60000,"MORTGAGE",5,"HOMEIMPROVEMENT","D",3000,14.59,0,0.05,"Y",3,"(13,15]"
"9051",25,60000,"MORTGAGE",9,"VENTURE","B",12000,10.99,0,0.2,"N",2,"(9,11]"
"9052",25,60000,"OWN",9,"HOMEIMPROVEMENT","C",1400,14.22,0,0.02,"Y",3,"(13,15]"
"9053",24,52000,"RENT",8,"EDUCATION","C",8000,13.99,1,0.15,"Y",2,"(13,15]"
"9054",23,58000,"RENT",4,"EDUCATION","B",8000,10.37,0,0.14,"N",4,"(9,11]"
"9055",22,52000,"RENT",0,"VENTURE","D",8000,15.58,1,0.15,"N",3,"(15,17]"
"9056",22,60000,"OWN",6,"MEDICAL","C",10000,NA,0,0.17,"Y",3,"missing"
"9057",25,60000,"OWN",8,"MEDICAL","B",25000,10.99,0,0.42,"N",3,"(9,11]"
"9058",24,58033,"RENT",4,"VENTURE","B",8000,10.62,0,0.14,"N",2,"(9,11]"
"9059",22,60000,"OWN",6,"EDUCATION","A",14000,7.88,0,0.23,"N",2,"(7,9]"
"9060",23,58600,"RENT",3,"MEDICAL","C",8000,NA,0,0.14,"Y",3,"missing"
"9061",26,54000,"MORTGAGE",10,"MEDICAL","C",10000,NA,1,0.19,"N",3,"missing"
"9062",21,60000,"MORTGAGE",2,"VENTURE","B",6000,10.62,0,0.1,"N",4,"(9,11]"
"9063",25,54000,"RENT",NA,"HOMEIMPROVEMENT","B",8000,9.91,1,0.15,"N",2,"(9,11]"
"9064",22,60000,"RENT",2,"DEBTCONSOLIDATION","C",8000,13.49,0,0.13,"N",3,"(13,15]"
"9065",22,60000,"RENT",2,"EDUCATION","B",8000,10,0,0.13,"N",4,"(9,11]"
"9066",25,60000,"RENT",1,"VENTURE","A",8000,5.42,0,0.13,"N",2,"(5,7]"
"9067",25,60000,"RENT",6,"PERSONAL","B",8000,9.63,0,0.13,"N",3,"(9,11]"
"9068",21,60000,"MORTGAGE",0,"MEDICAL","C",10000,NA,0,0.17,"Y",4,"missing"
"9069",25,60000,"RENT",3,"MEDICAL","B",8000,11.86,0,0.13,"N",4,"(11,13]"
"9070",23,60000,"MORTGAGE",3,"PERSONAL","A",13000,7.88,0,0.22,"N",4,"(7,9]"
"9071",26,60000,"RENT",2,"MEDICAL","C",8000,13.61,0,0.13,"N",4,"(13,15]"
"9072",22,60000,"RENT",6,"MEDICAL","C",8000,14.72,0,0.13,"Y",2,"(13,15]"
"9073",25,54000,"RENT",1,"HOMEIMPROVEMENT","B",8000,11.49,1,0.15,"N",4,"(11,13]"
"9074",23,60000,"RENT",3,"EDUCATION","B",8000,10.25,0,0.13,"N",3,"(9,11]"
"9075",22,60000,"RENT",6,"MEDICAL","A",8000,7.88,0,0.13,"N",2,"(7,9]"
"9076",22,54000,"RENT",4,"EDUCATION","C",8000,13.48,1,0.15,"Y",3,"(13,15]"
"9077",22,60000,"MORTGAGE",4,"VENTURE","A",3000,6.76,0,0.05,"N",4,"(5,7]"
"9078",23,60000,"RENT",2,"DEBTCONSOLIDATION","B",8000,NA,0,0.13,"N",3,"missing"
"9079",25,54000,"MORTGAGE",7,"DEBTCONSOLIDATION","D",8400,14.59,1,0.16,"N",2,"(13,15]"
"9080",24,60000,"RENT",3,"HOMEIMPROVEMENT","D",8000,14.59,0,0.13,"Y",3,"(13,15]"
"9081",23,60000,"RENT",2,"EDUCATION","A",8000,8.94,0,0.13,"N",3,"(7,9]"
"9082",23,60000,"RENT",0,"VENTURE","B",8000,11.14,0,0.13,"N",3,"(11,13]"
"9083",21,60000,"MORTGAGE",4,"EDUCATION","B",12000,11.36,0,0.2,"N",3,"(11,13]"
"9084",23,60000,"MORTGAGE",5,"DEBTCONSOLIDATION","A",4000,7.14,0,0.07,"N",3,"(7,9]"
"9085",21,60000,"RENT",2,"EDUCATION","B",8000,11.26,0,0.13,"N",3,"(11,13]"
"9086",24,60000,"MORTGAGE",NA,"MEDICAL","A",5000,7.14,0,0.08,"N",2,"(7,9]"
"9087",23,60000,"RENT",1,"VENTURE","B",8000,12.21,0,0.13,"N",4,"(11,13]"
"9088",22,60000,"RENT",6,"PERSONAL","B",8000,11.14,0,0.13,"N",3,"(11,13]"
"9089",23,60228,"RENT",7,"MEDICAL","C",8000,12.98,0,0.13,"Y",2,"(11,13]"
"9090",23,60400,"RENT",2,"VENTURE","B",8000,9.25,0,0.13,"N",4,"(9,11]"
"9091",23,54780,"RENT",NA,"PERSONAL","B",8000,10.65,1,0.15,"N",4,"(9,11]"
"9092",23,60000,"MORTGAGE",7,"EDUCATION","A",10750,7.88,0,0.18,"N",3,"(7,9]"
"9093",25,54000,"MORTGAGE",NA,"DEBTCONSOLIDATION","C",12000,12.73,1,0.22,"N",4,"(11,13]"
"9094",23,61000,"RENT",3,"VENTURE","C",8000,13.22,0,0.13,"Y",2,"(13,15]"
"9095",22,55000,"RENT",5,"PERSONAL","D",8000,15.31,1,0.15,"N",4,"(15,17]"
"9096",24,55000,"RENT",2,"HOMEIMPROVEMENT","D",8000,14.61,1,0.15,"N",2,"(13,15]"
"9097",22,60000,"MORTGAGE",3,"MEDICAL","C",3250,12.73,0,0.05,"Y",4,"(11,13]"
"9098",22,60000,"MORTGAGE",5,"DEBTCONSOLIDATION","C",12500,13.11,0,0.21,"Y",2,"(13,15]"
"9099",25,61440,"RENT",9,"VENTURE","B",8000,10.36,0,0.13,"N",4,"(9,11]"
"9100",26,55700,"RENT",2,"HOMEIMPROVEMENT","C",8000,13.49,1,0.14,"Y",4,"(13,15]"
"9101",25,61995,"RENT",2,"VENTURE","B",8000,9.99,0,0.13,"N",4,"(9,11]"
"9102",21,46000,"RENT",2,"VENTURE","D",5200,17.27,1,0.11,"Y",4,"(17,Inf]"
"9103",23,54000,"MORTGAGE",7,"DEBTCONSOLIDATION","D",5000,14.96,1,0.09,"Y",2,"(13,15]"
"9104",22,52000,"RENT",3,"EDUCATION","C",5200,NA,0,0.1,"Y",4,"missing"
"9105",23,54000,"RENT",4,"MEDICAL","B",5200,11.71,0,0.1,"N",2,"(11,13]"
"9106",24,54000,"RENT",7,"PERSONAL","B",5200,10.37,1,0.1,"N",3,"(9,11]"
"9107",22,60000,"MORTGAGE",6,"VENTURE","A",7000,7.14,0,0.12,"N",3,"(7,9]"
"9108",26,62000,"RENT",1,"MEDICAL","C",5200,15.96,0,0.08,"N",4,"(15,17]"
"9109",22,54000,"MORTGAGE",6,"HOMEIMPROVEMENT","C",12000,13.48,1,0.22,"N",2,"(13,15]"
"9110",22,60000,"OWN",6,"VENTURE","A",11500,7.88,0,0.19,"N",2,"(7,9]"
"9111",25,65000,"RENT",0,"PERSONAL","B",5200,9.99,0,0.08,"N",3,"(9,11]"
"9112",23,60000,"MORTGAGE",4,"EDUCATION","A",10000,NA,0,0.17,"N",4,"missing"
"9113",23,15000,"RENT",3,"DEBTCONSOLIDATION","B",5175,12.18,1,0.34,"N",2,"(11,13]"
"9114",25,21000,"RENT",0,"DEBTCONSOLIDATION","B",5175,12.53,1,0.25,"N",2,"(11,13]"
"9115",25,60000,"OWN",5,"VENTURE","C",1200,13.85,0,0.02,"N",2,"(13,15]"
"9116",21,54000,"RENT",5,"DEBTCONSOLIDATION","A",5125,5.99,1,0.09,"N",4,"(5,7]"
"9117",21,60000,"MORTGAGE",5,"DEBTCONSOLIDATION","C",5000,13.48,0,0.08,"N",2,"(13,15]"
"9118",22,60000,"MORTGAGE",6,"DEBTCONSOLIDATION","C",6000,13.11,0,0.1,"Y",4,"(13,15]"
"9119",22,60000,"RENT",2,"MEDICAL","B",5125,11.86,0,0.09,"N",3,"(11,13]"
"9120",26,28000,"RENT",6,"EDUCATION","B",5100,11.89,0,0.18,"N",4,"(11,13]"
"9121",23,60000,"OWN",2,"MEDICAL","D",18500,15.33,0,0.31,"N",2,"(15,17]"
"9122",25,60000,"OWN",10,"EDUCATION","B",5500,10.99,0,0.09,"N",2,"(9,11]"
"9123",25,32000,"RENT",4,"VENTURE","A",5100,8.38,0,0.16,"N",3,"(7,9]"
"9124",21,35368,"RENT",0,"DEBTCONSOLIDATION","C",5100,12.99,0,0.14,"N",2,"(11,13]"
"9125",21,37200,"RENT",2,"MEDICAL","A",5100,7.49,0,0.14,"N",4,"(7,9]"
"9126",26,60000,"MORTGAGE",3,"PERSONAL","A",11500,7.88,0,0.19,"N",2,"(7,9]"
"9127",25,45000,"RENT",4,"MEDICAL","B",5100,10,0,0.11,"N",4,"(9,11]"
"9128",22,60000,"MORTGAGE",6,"MEDICAL","B",5000,11.83,0,0.08,"N",4,"(11,13]"
"9129",22,60000,"MORTGAGE",6,"VENTURE","D",24250,15.31,0,0.4,"Y",2,"(15,17]"
"9130",24,53000,"RENT",5,"EDUCATION","A",5100,7.9,0,0.1,"N",2,"(7,9]"
"9131",26,56000,"RENT",1,"PERSONAL","A",5100,8,0,0.09,"N",4,"(7,9]"
"9132",23,60000,"MORTGAGE",7,"VENTURE","B",2450,11.48,0,0.04,"N",2,"(11,13]"
"9133",23,60000,"MORTGAGE",0,"VENTURE","F",3000,19.13,0,0.05,"N",2,"(17,Inf]"
"9134",25,33600,"RENT",5,"PERSONAL","A",5075,5.79,0,0.15,"N",2,"(5,7]"
"9135",22,36000,"RENT",4,"DEBTCONSOLIDATION","B",5075,NA,0,0.14,"N",2,"missing"
"9136",23,60000,"OWN",0,"PERSONAL","B",8000,12.53,0,0.13,"N",2,"(11,13]"
"9137",26,34000,"RENT",8,"MEDICAL","D",5050,16.89,1,0.15,"N",4,"(15,17]"
"9138",25,66000,"RENT",1,"HOMEIMPROVEMENT","B",5050,11.49,0,0.08,"N",2,"(11,13]"
"9139",24,60000,"OWN",9,"MEDICAL","B",15000,11.83,0,0.25,"N",4,"(11,13]"
"9140",23,60000,"MORTGAGE",3,"MEDICAL","A",4500,7.4,0,0.07,"N",3,"(7,9]"
"9141",22,74000,"RENT",4,"PERSONAL","A",5050,5.42,0,0.07,"N",3,"(5,7]"
"9142",22,40000,"RENT",2,"DEBTCONSOLIDATION","C",5025,13.43,0,0.13,"N",2,"(13,15]"
"9143",21,10000,"RENT",0,"PERSONAL","D",5000,12.17,1,0.5,"Y",2,"(11,13]"
"9144",22,60000,"MORTGAGE",3,"MEDICAL","A",2000,7.4,0,0.03,"N",2,"(7,9]"
"9145",24,10668,"RENT",0,"HOMEIMPROVEMENT","A",5000,7.88,1,0.47,"N",3,"(7,9]"
"9146",24,10800,"RENT",8,"VENTURE","A",5000,7.88,1,0.46,"N",2,"(7,9]"
"9147",23,60000,"MORTGAGE",0,"MEDICAL","A",5000,NA,0,0.08,"N",2,"missing"
"9148",21,12000,"RENT",5,"VENTURE","B",5000,11.49,1,0.42,"N",2,"(11,13]"
"9149",26,12000,"RENT",NA,"VENTURE","A",5000,6.92,1,0.42,"N",4,"(5,7]"
"9150",21,12360,"RENT",NA,"VENTURE","B",5000,10.75,1,0.4,"N",4,"(9,11]"
"9151",23,60000,"MORTGAGE",7,"EDUCATION","B",20000,12.18,0,0.33,"N",4,"(11,13]"
"9152",24,13000,"RENT",0,"DEBTCONSOLIDATION","A",5000,8,1,0.38,"N",2,"(7,9]"
"9153",23,60000,"MORTGAGE",7,"PERSONAL","C",2000,14.26,0,0.03,"Y",3,"(13,15]"
"9154",21,14400,"RENT",3,"VENTURE","C",5000,13.72,1,0.35,"N",4,"(13,15]"
"9155",23,14400,"RENT",2,"VENTURE","A",5000,6.91,1,0.35,"N",3,"(5,7]"
"9156",26,60000,"MORTGAGE",10,"PERSONAL","A",1200,7.4,0,0.02,"N",4,"(7,9]"
"9157",25,60000,"OWN",3,"PERSONAL","C",16000,13.57,0,0.27,"Y",4,"(13,15]"
"9158",22,15000,"RENT",0,"VENTURE","D",5000,NA,1,0.33,"Y",4,"missing"
"9159",25,60000,"MORTGAGE",9,"PERSONAL","C",10200,13.92,0,0.17,"Y",4,"(13,15]"
"9160",23,60000,"OWN",4,"VENTURE","C",10000,13.22,0,0.17,"N",4,"(13,15]"
"9161",24,60000,"MORTGAGE",3,"VENTURE","B",4000,12.18,0,0.07,"N",2,"(11,13]"
"9162",22,54000,"MORTGAGE",1,"HOMEIMPROVEMENT","D",10000,14.61,1,0.19,"Y",4,"(13,15]"
"9163",26,15600,"RENT",5,"DEBTCONSOLIDATION","A",5000,5.99,1,0.32,"N",3,"(5,7]"
"9164",22,54000,"MORTGAGE",3,"DEBTCONSOLIDATION","D",22750,NA,1,0.42,"Y",2,"missing"
"9165",22,60000,"MORTGAGE",6,"EDUCATION","D",5000,14.61,0,0.08,"Y",3,"(13,15]"
"9166",22,60000,"OTHER",6,"VENTURE","D",8000,16,0,0.13,"N",2,"(15,17]"
"9167",25,15600,"RENT",6,"MEDICAL","B",5000,10.75,1,0.32,"N",3,"(9,11]"
"9168",23,60000,"MORTGAGE",6,"PERSONAL","A",3350,NA,0,0.06,"N",4,"missing"
"9169",23,60000,"MORTGAGE",7,"PERSONAL","B",9500,12.53,0,0.16,"N",2,"(11,13]"
"9170",26,16120,"RENT",2,"PERSONAL","B",5000,11.58,1,0.31,"N",3,"(11,13]"
"9171",26,60000,"MORTGAGE",10,"DEBTCONSOLIDATION","A",6000,8.94,0,0.1,"N",4,"(7,9]"
"9172",22,16320,"RENT",0,"DEBTCONSOLIDATION","B",5000,12.53,1,0.31,"N",2,"(11,13]"
"9173",24,60000,"MORTGAGE",0,"EDUCATION","D",8000,15.65,0,0.13,"N",3,"(15,17]"
"9174",24,60000,"MORTGAGE",6,"HOMEIMPROVEMENT","A",14000,8.94,0,0.23,"N",2,"(7,9]"
"9175",26,60000,"MORTGAGE",5,"EDUCATION","B",6000,11.83,0,0.1,"N",2,"(11,13]"
"9176",26,16800,"RENT",0,"EDUCATION","B",5000,NA,1,0.3,"N",4,"missing"
"9177",24,16800,"RENT",1,"EDUCATION","C",5000,14.22,1,0.3,"Y",4,"(13,15]"
